loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2023-11-06T09:24:37.929+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389532.8360986667,-0.26495361328125,0.2326812744140625,-0.7716064453125,389532.8311196667,-0.1012450838424917,-0.2041888584607355,-0.2539404529441704,-0.707750141620636,-0.2199019938707352,-0.300346851348877,-0.05820083618164062,-0.02786177396774292,0.1748728156089783,XArbitraryZVertical,-0.1309241899855408,-0.09459303510201746,-0.0370430574102734,0.9861738038179583,-0.1962700039148331,0.2512199878692627,-0.9478220343589783,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:37.949+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389532.8560126667,-0.277923583984375,0.199493408203125,-0.75994873046875,389532.8510346667,-0.1109968661446867,-0.2104270125483877,-0.2661368947210799,-0.6644522547721863,-0.1701160669326782,-0.3470340669155121,-0.08306789398193359,-0.0397244393825531,0.1757818460464478,XArbitraryZVertical,-0.1375131890835638,-0.09661196612365652,-0.04076341209686234,0.9849337936327262,-0.2015237957239151,0.2630062997341156,-0.943512499332428,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:37.969+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389532.8759276667,-0.2457427978515625,0.162750244140625,-0.746246337890625,389532.8709486667,-0.1213102938015082,-0.2165516649640854,-0.2765706269940694,-0.561745822429657,-0.1610171049833298,-0.4181158244609833,-0.04340904951095581,-0.09698700904846191,0.1839598417282104,XArbitraryZVertical,-0.1432738717734648,-0.09852901161735296,-0.04481895246112712,0.9837458256716305,-0.2066977769136429,0.2730582058429718,-0.9395292401313782,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:37.989+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389532.8958426667,-0.258758544921875,0.1205291748046875,-0.7229156494140625,389532.8908636667,-0.1327649526349353,-0.2223565539579099,-0.284551316673756,-0.4524848163127899,-0.1024944186210632,-0.4877322614192963,-0.04245908558368683,-0.138301283121109,0.1991587281227112,XArbitraryZVertical,-0.1478956542665035,-0.1002386430781381,-0.04956054326316425,0.9826610642547154,-0.2116608023643494,0.2807268500328064,-0.9361581802368164,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:38.009+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389532.9157566667,-0.24365234375,0.0762939453125,-0.711822509765625,389532.9107776667,-0.1453637917227821,-0.2275000708236425,-0.2900695629308062,-0.35804283618927,-0.05868168547749519,-0.5713816285133362,-0.03976947069168091,-0.1866841316223145,0.2175760865211487,XArbitraryZVertical,-0.1513696677269952,-0.1015892480834607,-0.05502993157999768,0.9817019019422671,-0.2161204367876053,0.2860188782215118,-0.9335336685180664,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:38.029+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389532.9356716667,-0.2441864013671875,0.0438690185546875,-0.7089691162109375,389532.9306926667,-0.1592341157587246,-0.2323860581635732,-0.2939777347481112,-0.3393137156963348,-0.02631309255957603,-0.6462612748146057,-0.01844114065170288,-0.2328157722949982,0.2197323441505432,XArbitraryZVertical,-0.1541327210187676,-0.1027484579937387,-0.06121924345206582,0.9807844710899229,-0.2204199582338333,0.2897616028785706,-0.9313716888427734,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:38.049+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389532.9555856667,-0.2440338134765625,0.009490966796875,-0.7005615234375,389532.9506066667,-0.1750273005675584,-0.2372049301480028,-0.2975123468393097,-0.3591528236865997,-0.004465584643185139,-0.7469313740730286,-0.02509240806102753,-0.2676300406455994,0.2257604598999023,XArbitraryZVertical,-0.1568314067568143,-0.1037073569595945,-0.06835995644821807,0.9797833738804151,-0.2246634662151337,0.2931427359580994,-0.9292973875999451,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:38.068+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389532.9755006667,-0.230560302734375,-0.0025787353515625,-0.7287750244140625,389532.9705216667,-0.1931473221454615,-0.2432102418750471,-0.3015432284921147,-0.4558439552783966,-0.07127924263477325,-0.8421689867973328,-0.005748867988586426,-0.2945069372653961,0.2193949222564697,XArbitraryZVertical,-0.1599611567926243,-0.1049946767508259,-0.07649041264024521,0.978538587878415,-0.2299536764621735,0.296994149684906,-0.9267770648002625,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:38.088+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389532.9954146667,-0.25994873046875,0.0224456787109375,-0.8056488037109375,389532.9904366667,-0.2136309684127831,-0.2517131183475092,-0.3073248017615223,-0.5798287391662598,-0.1553461700677872,-0.9108784794807434,0.003034129738807678,-0.2988629639148712,0.1608418822288513,XArbitraryZVertical,-0.1642071499473889,-0.1071496770406089,-0.08541987726661382,0.9768615173476296,-0.2373939007520676,0.3025098741054535,-0.9231098890304565,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:38.108+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389533.0153296667,-0.3387603759765625,0.0709686279296875,-0.944854736328125,389533.0103506667,-0.2355656115525879,-0.2616434511727302,-0.3150966799208829,-0.703014612197876,-0.1468538790941238,-0.9008650779724121,-0.05391722917556763,-0.2630486190319061,0.05375367403030396,XArbitraryZVertical,-0.1696182266907908,-0.1096610910980301,-0.09473831016596217,0.9747967894518162,-0.2459332495927811,0.309908390045166,-0.918408215045929,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
